issue,total_votes,yes_votes,yes_percent,no_votes,no_percent,ballot,result
117,81,75,92.6,6,7.4,22,passes
116,81,67,82.7,14,17.3,22,passes
114,65,50,76.9,15,23.1,21,passes
113,76,72,94.7,4,5.3,21,passes
112,77,30,39,47,61,21,does not pass
111,68,63,92.6,5,7.4,20,passes
108,52,47,90.4,5,9.6,19,passes
107,51,51,100,0,0,18,passes
106,47,15,31.9,32,68.1,18,does not pass
103,58,55,94.8,3,5.2,18,passes
102,56,54,96.4,2,3.6,18,passes
101,70,35,50,35,50,17,does not pass
99,63,24,38.1,39,61.9,17,does not pass
98,71,67,94.4,4,5.6,17,passes
97,86,83,96.5,3,3.5,16,passes
95,78,78,100,0,0,15,passes
94,66,57,86.4,9,13.6,14,passes
93,65,55,84.6,10,15.4,14,passes
92,75,67,89.3,8,10.7,14,passes
87,65,56,86.2,9,13.8,13,passes
86,82,65,79.3,17,20.7,13,passes
85,69,57,82.6,12,17.4,13,passes
82,68,51,75,17,25,12,passes
81,69,45,65.2,24,34.8,12,does not pass
80,77,67,87,10,13,11,passes
76,75,32,42.7,43,57.3,10,does not pass
75,81,20,24.7,61,75.3,10,does not pass
74,60,27,45,33,55,10,does not pass
73,65,30,46.2,35,53.8,10,does not pass
72,61,49,80.3,12,19.7,10,passes
71,74,62,83.8,12,16.2,9,passes
69,78,34,43.6,44,56.4,9,does not pass
68,65,47,72.3,18,27.7,8,passes
67,70,61,87.1,9,12.9,8,passes
66,57,43,75.4,14,24.6,8,passes
65,65,45,69.2,20,30.8,8,passes
64,70,49,70,21,30,8,passes
62,77,75,97.4,2,2.6,7,passes
61,77,72,93.5,5,6.5,7,passes
60,75,74,98.7,1,1.3,7,passes
59,75,75,100,0,0,7,passes
58,74,74,100,0,0,7,passes
57,76,75,98.7,1,1.3,7,passes
56,73,73,100,0,0,7,passes
55,71,66,93,5,7,7,passes
52,51,48,94.1,3,5.9,6,passes
51,60,56,93.3,4,6.7,6,passes
50,62,57,91.9,5,8.1,6,passes
49,60,54,90,6,10,6,passes
48,78,75,96.2,3,3.8,5,passes
47,65,49,75.4,16,24.6,5,passes
46,64,18,28.1,46,71.9,5,does not pass
44,47,25,53.2,22,46.8,4,does not pass
42,47,28,59.6,19,40.4,4,does not pass
41,51,31,60.8,20,39.2,4,does not pass
40,53,41,77.4,12,22.6,4,passes
39,52,25,48.1,27,51.9,4,does not pass
38,57,53,93,4,7,4,passes
35,56,45,80.4,11,19.6,4,passes
34,59,56,94.9,3,5.1,4,passes
33,60,56,93.3,4,6.7,4,passes
32,60,54,90,6,10,4,passes
31,72,72,100,0,0,3,passes
28,68,34,50,34,50,3,does not pass
27,67,58,86.6,9,13.4,3,passes
26,67,43,64.2,24,35.8,3,does not pass
25,69,45,65.2,24,34.8,3,does not pass
21,63,56,88.9,7,11.1,3,passes
18,56,51,91.1,5,8.9,2,passes
17,69,67,97.1,2,2.9,2,passes
15,69,67,97.1,2,2.9,2,passes
14,65,58,89.2,7,10.8,2,passes
12,70,67,95.7,3,4.3,2,passes
10,46,42,91.3,4,8.7,1,passes
9,45,41,91.1,4,8.9,1,passes
6,65,63,96.9,2,3.1,1,passes
5,63,60,95.2,3,4.8,1,passes
4,66,64,97,2,3,1,passes
2,66,66,100,0,0,1,passes
